NAME,ITER,FVAL
CVXQP1S,26,11590.718119419984
CVXQP2S,26,8120.9404772495955
CVXQP3S,21,11943.432202314709
DPKLO1,5,0.3700867031337237
DUAL1,11,0.03501296769432107
DUAL2,9,0.03373367614379487
DUAL3,10,0.1357558377004042
DUAL4,9,0.7460908418228437
DUALC1,125,6155.250829468134
DUALC2,99,3551.307737088912
DUALC5,22,427.23232692988694
DUALC8,41,18309.3588400367
GENHS28,5,0.9271736946935648
HS118,15,664.8204499982133
HS21,10,0.04000000056833681
HS268,13,-14462.999999997792
HS35,6,-8.88888888517179
HS35MOD,13,-8.749999998270521
HS51,0,-6.000000000000004
HS52,4,-0.673352566647563
HS53,8,-1.9069767519703322
HS76,7,-4.681818180997544
LOTSCHD,12,2398.4158896110325
PRIMAL1,15,-0.0350129570956414
PRIMAL2,13,-0.03373366699566567
PRIMALC1,137,-6155.25082958752
PRIMALC2,120,-3551.3077025767598
PRIMALC5,32,-427.23232908516127
QADLITTL,75,480318.85854015715
QAFIRO,14,-1.5907817920340501
QBEACONF,31,164712.06014966607
QBRANDY,81,28375.114856657096
QISRAEL,150,2099013.7513432363
QPCBLEND,18,-0.00784252336553198
QPCBOEI2,150,7303054.182075333
QPTEST,8,4.3718750002051125
QRECIPE,24,-266.615999980889
QSC205,19,-0.005813951257108634
QSCAGR7,100,26865948.58102088
QSHARE1B,150,209121.96292529634
QSHARE2B,48,11703.691721473724
S268,13,-14462.999999997792
TAME,5,0
VALUES,15,-1.396621117353868
ZECEVIC2,8,-4.125000000041359
