NAME,ITER,FVAL
CVXQP1S,24,11590.718119426741
CVXQP2S,26,8120.940477250675
CVXQP3S,19,11943.43220232256
DPKLO1,1,0.3700867031427428
DUAL1,14,0.03501298821543243
DUAL2,7,0.03373367613473635
DUAL3,11,0.13575584019860754
DUAL4,8,0.7460908418095862
DUALC1,63,6155.250829462675
DUALC2,52,3551.3076926706435
DUALC5,17,427.2323267798853
DUALC8,26,18309.358832734266
GENHS28,1,0.9271736937663904
HS118,15,664.8204500000002
HS21,8,0.040000007326297486
HS268,13,-14462.999999999061
HS35,5,-8.888888888888893
HS35MOD,19,-8.749999998625636
HS51,0,-6.000000000000004
HS52,1,-0.6733524355300912
HS53,5,-1.9069767441860501
HS76,6,-4.681818181817521
LOTSCHD,10,2398.4158738835936
PRIMAL1,16,-0.035012955617128194
PRIMAL2,16,-0.03373365574810211
PRIMALC1,88,-6155.250829462684
PRIMALC2,79,-3551.30769267064
PRIMALC5,21,-427.2323266754742
QADLITTL,57,480318.8585446713
QAFIRO,16,-1.5907817939055322
QBEACONF,31,164712.06014969992
QBRANDY,79,28375.11485668834
QISRAEL,150,4794030.419943638
QPCBLEND,22,-0.007842268849835793
QPCBOEI2,147,8171962.244330591
QPTEST,6,4.371875000000012
QRECIPE,71,-266.6159999264509
QSC205,NAN,NAN
QSCAGR7,73,26865948.589022655
QSHARE1B,150,390710.0945747845
QSHARE2B,45,11703.691721624193
S268,13,-14462.999999999061
TAME,2,0
VALUES,18,-1.3966211107052446
ZECEVIC2,8,-4.124999999998047
